day,degree
2011/5/14,180
2011/5/15,180
2011/5/16,180
2011/5/17,180
2011/5/18,180
2011/5/19,180
2011/5/20,157.5
2011/5/21,180
2011/5/22,202.5
2011/5/23,22.5
2011/5/24,337.5
2011/5/25,180
2011/5/26,157.5
2011/5/27,157.5
2011/5/28,337.5
2011/5/29,45
2011/5/30,22.5
2011/5/31,90
2011/6/1,157.5
2011/6/2,315
2011/6/3,157.5
2011/6/4,157.5
2011/6/5,180
2011/6/6,180
2011/6/7,157.5
2011/6/8,0
2011/6/9,180
2011/6/10,180
2011/6/11,180
2011/6/12,157.5
2011/6/13,157.5
2011/6/14,157.5
2011/6/15,157.5
2011/6/16,157.5
2011/6/17,337.5
2011/6/18,157.5
2011/6/19,180
2011/6/20,180
2011/6/21,202.5
2011/6/22,157.5
2011/6/23,202.5
2011/6/24,202.5
2011/6/25,67.5
2011/6/26,67.5
2011/6/27,22.5
2011/6/28,135
2011/6/29,135
2011/6/30,270
2011/7/1,157.5
2011/7/2,45
2011/7/3,157.5
2011/7/4,202.5
2011/7/5,180
2011/7/6,135
2011/7/7,202.5
2011/7/8,180
2011/7/9,157.5
2011/7/10,180
2011/7/11,157.5
2011/7/12,180
2011/7/13,157.5
2011/7/14,157.5
2011/7/15,157.5
2011/7/16,180
2011/7/17,180
2011/7/18,180
2011/7/19,157.5
2011/7/20,157.5
2011/7/21,22.5
2011/7/22,45
2011/7/23,337.5
2011/7/24,180
2011/7/25,180
2011/7/26,202.5
2011/7/27,180
2011/7/28,337.5
2011/7/29,315
2011/7/30,45
2011/7/31,45
2011/8/1,90
2011/8/2,157.5
2011/8/3,45
2011/8/4,45
2011/8/5,157.5
2011/8/6,157.5
2011/8/7,45
2011/8/8,157.5
2011/8/9,157.5
2011/8/10,157.5
2011/8/11,157.5
2011/8/12,157.5
2011/8/13,157.5
2011/8/14,157.5
2011/8/15,157.5
2011/8/16,180
2011/8/17,180
2011/8/18,202.5
2011/8/19,45
2011/8/20,337.5
2011/8/21,337.5
2011/8/22,22.5
2011/8/23,180
2011/8/24,180
2011/8/25,180
2011/8/26,22.5
2011/8/27,67.5
2011/8/28,67.5
2011/8/29,45
2011/8/30,22.5
2011/8/31,0
2011/9/1,112.5
2011/9/2,135
2011/9/3,157.5
2011/9/4,157.5
2011/9/5,157.5
2011/9/6,22.5
2011/9/7,180
2011/9/8,180
2011/9/9,202.5
2011/9/10,157.5
2011/9/11,157.5
2011/9/12,180
2011/9/13,180
2011/9/14,180
2011/9/15,180
2011/9/16,180
2011/9/17,180
2011/9/18,180
2011/9/19,67.5
2011/9/20,22.5
2011/9/21,337.5
2011/9/22,45
2011/9/23,337.5
2011/9/24,135
2011/9/25,67.5
2011/9/26,337.5
2011/9/27,337.5
2011/9/28,22.5
2011/9/29,180
2011/9/30,225
2011/10/1,112.5
2011/10/2,45
2011/10/3,337.5
2011/10/4,157.5
2011/10/5,337.5
2011/10/6,337.5
2011/10/7,337.5
2011/10/8,157.5
2011/10/9,337.5
2011/10/10,180
2011/10/11,67.5
2011/10/12,180
2011/10/13,337.5
2011/10/14,180
2011/10/15,180
2011/10/16,180
2011/10/17,315
2011/10/18,45
2011/10/19,337.5
2011/10/20,337.5
2011/10/21,337.5
2011/10/22,180
2011/10/23,180
2011/10/24,45
2011/10/25,337.5
2011/10/26,337.5
2011/10/27,67.5
2011/10/28,337.5
2011/10/29,45
2011/10/30,337.5
2011/10/31,337.5
2011/11/1,67.5
2011/11/2,337.5
2011/11/3,337.5
2011/11/4,45
2011/11/5,337.5
2011/11/6,22.5
2011/11/7,45
2011/11/8,67.5
2011/11/9,337.5
2011/11/10,45
2011/11/11,337.5
2011/11/12,67.5
2011/11/13,22.5
2011/11/14,45
2011/11/15,22.5
2011/11/16,337.5
2011/11/17,337.5
2011/11/18,337.5
2011/11/19,180
2011/11/20,337.5
2011/11/21,337.5
2011/11/22,337.5
2011/11/23,337.5
2011/11/24,337.5
2011/11/25,337.5
2011/11/26,22.5
2011/11/27,337.5
2011/11/28,315
2011/11/29,315
2011/11/30,45
2011/12/1,45
2011/12/2,337.5
2011/12/3,337.5
2011/12/4,337.5
2011/12/5,337.5
2011/12/6,0
2011/12/7,337.5
2011/12/8,337.5
2011/12/9,292.5
2011/12/10,337.5
2011/12/11,292.5
2011/12/12,315
2011/12/13,0
2011/12/14,337.5
2011/12/15,337.5
2011/12/16,337.5
2011/12/17,337.5
2011/12/18,22.5
2011/12/19,315
2011/12/20,337.5
2011/12/21,337.5
2011/12/22,315
2011/12/23,337.5
2011/12/24,337.5
2011/12/25,337.5
2011/12/26,315
2011/12/27,337.5
2011/12/28,337.5
2011/12/29,337.5
2011/12/30,337.5
2011/12/31,0
2012/1/1,337.5
2012/1/2,337.5
2012/1/3,337.5
2012/1/4,315
2012/1/5,337.5
2012/1/6,315
2012/1/7,337.5
2012/1/8,337.5
2012/1/9,337.5
2012/1/10,157.5
2012/1/11,337.5
2012/1/12,337.5
2012/1/13,337.5
2012/1/14,337.5
2012/1/15,337.5
2012/1/16,22.5
2012/1/17,22.5
2012/1/18,337.5
2012/1/19,337.5
2012/1/20,337.5
2012/1/21,337.5
2012/1/22,337.5
2012/1/23,22.5
2012/1/24,337.5
2012/1/25,315
2012/1/26,337.5
2012/1/27,337.5
2012/1/28,337.5
2012/1/29,337.5
2012/1/30,337.5
2012/1/31,337.5
2012/2/1,315
2012/2/2,315
2012/2/3,180
2012/2/4,337.5
2012/2/5,337.5
2012/2/6,337.5
2012/2/7,337.5
2012/2/8,337.5
2012/2/9,315
2012/2/10,22.5
2012/2/11,337.5
2012/2/12,337.5
2012/2/13,22.5
2012/2/14,315
2012/2/15,337.5
2012/2/16,337.5
2012/2/17,22.5
2012/2/18,337.5
2012/2/19,337.5
2012/2/20,337.5
2012/2/21,315
2012/2/22,112.5
2012/2/23,337.5
2012/2/24,337.5
2012/2/25,337.5
2012/2/26,315
2012/2/27,337.5
2012/2/28,67.5
2012/2/29,337.5
2012/3/1,337.5
2012/3/2,337.5
2012/3/3,67.5
2012/3/4,45
2012/3/5,337.5
2012/3/6,337.5
2012/3/7,0
2012/3/8,22.5
2012/3/9,337.5
2012/3/10,337.5
2012/3/11,157.5
2012/3/12,337.5
2012/3/13,337.5
2012/3/14,337.5
2012/3/15,337.5
2012/3/16,180
2012/3/17,315
2012/3/18,45
2012/3/19,337.5
